[EE__x(t) = -.059592, EE__y(t) = .67468779664, EE__angle(t) = -.1520369286]
[EE__x(t) = -.058098, EE__y(t) = .67466570409, EE__angle(t) = -.1518781311]
[EE__x(t) = -.05649, EE__y(t) = .67463931153, EE__angle(t) = -.1517085454]
[EE__x(t) = -.054771, EE__y(t) = .67460735898, EE__angle(t) = -.1515970812]
[EE__x(t) = -.052943, EE__y(t) = .67457032642, EE__angle(t) = -.1516150567]
[EE__x(t) = -.051008, EE__y(t) = .67453032387, EE__angle(t) = -.1518336027]
[EE__x(t) = -.048967, EE__y(t) = .67448930431, EE__angle(t) = -.1523176927]
[EE__x(t) = -.046823, EE__y(t) = .67444850876, EE__angle(t) = -.1531263425]
[EE__x(t) = -.044573, EE__y(t) = .6744071362, EE__angle(t) = -.1542967923]
[EE__x(t) = -.042218, EE__y(t) = .67436404365, EE__angle(t) = -.1558517596]
[EE__x(t) = -.039761, EE__y(t) = .67431826109, EE__angle(t) = -.1577751675]
[EE__x(t) = -.037201, EE__y(t) = .67426998854, EE__angle(t) = -.1600311869]
[EE__x(t) = -.034537, EE__y(t) = .67422048598, EE__angle(t) = -.1625506016]
[EE__x(t) = -.031774, EE__y(t) = .67417081343, EE__angle(t) = -.1652464444]
[EE__x(t) = -.028914, EE__y(t) = .67412217088, EE__angle(t) = -.1679986002]
[EE__x(t) = -.025964, EE__y(t) = .67407461832, EE__angle(t) = -.1706732235]
[EE__x(t) = -.022925, EE__y(t) = .67402698577, EE__angle(t) = -.1731262988]
[EE__x(t) = -.019805, EE__y(t) = .67397862021, EE__angle(t) = -.1752102026]
[EE__x(t) = -.016615, EE__y(t) = .67392896066, EE__angle(t) = -.1767776989]
[EE__x(t) = -.013358, EE__y(t) = .6738784381, EE__angle(t) = -.1776873504]
[EE__x(t) = -.010047, EE__y(t) = .67382785555, EE__angle(t) = -.1778307549]
[EE__x(t) = -.006685, EE__y(t) = .67377824299, EE__angle(t) = -.1771180813]
[EE__x(t) = -.003283, EE__y(t) = .67373121044, EE__angle(t) = -.1754981388]
[EE__x(t) = .000154, EE__y(t) = .67368798788, EE__angle(t) = -.1729417988]
[EE__x(t) = .003617, EE__y(t) = .67364967923, EE__angle(t) = -.1694671488]
[EE__x(t) = .007095, EE__y(t) = .67361649277, EE__angle(t) = -.1651173113]
[EE__x(t) = .01058, EE__y(t) = .67358830322, EE__angle(t) = -.1599818697]
[EE__x(t) = .014065, EE__y(t) = .67356479767, EE__angle(t) = -.1541717076]
[EE__x(t) = .017537, EE__y(t) = .67354631511, EE__angle(t) = -.1478239639]
[EE__x(t) = .020997, EE__y(t) = .67353395256, EE__angle(t) = -.1410869863]
[EE__x(t) = .024439, EE__y(t) = .673529167, EE__angle(t) = -.1341191449]
[EE__x(t) = .027866, EE__y(t) = .67353217745, EE__angle(t) = -.1270811333]
[EE__x(t) = .031279, EE__y(t) = .67354208489, EE__angle(t) = -.120126063]
[EE__x(t) = .03468, EE__y(t) = .67355661734, EE__angle(t) = -.1133985709]
[EE__x(t) = .038066, EE__y(t) = .67357504978, EE__angle(t) = -.107009838]
[EE__x(t) = .041438, EE__y(t) = .67359814723, EE__angle(t) = -.1010537573]
[EE__x(t) = .044794, EE__y(t) = .67362698467, EE__angle(t) = -.09559395646]
[EE__x(t) = .048131, EE__y(t) = .67366114212, EE__angle(t) = -.09067623368]
[EE__x(t) = .051452, EE__y(t) = .67369847956, EE__angle(t) = -.0863061914]
[EE__x(t) = .054748, EE__y(t) = .67373603701, EE__angle(t) = -.08247007531]
[EE__x(t) = .058017, EE__y(t) = .67377296445, EE__angle(t) = -.07912600424]
[EE__x(t) = .061254, EE__y(t) = .6738115719, EE__angle(t) = -.07621891505]
[EE__x(t) = .06446, EE__y(t) = .67385491935, EE__angle(t) = -.0736761615]
