-1.21870047997012-.624734821664445*I,-.343847394089379-1.6461274855*I,1.75055392897869-.5859353785*I
-1.21813989569989-.623730422171968*I,-.346243188185738-1.6461274855*I,1.75313879279186-.5859353785*I
-1.21788448885977-.623279760495249*I,-.347315343387111-1.6461274855*I,1.75430497749602-.5859353785*I
-1.21788809397314-.623286092213083*I,-.347300291895058-1.6461274855*I,1.75428856531686-.5859353785*I
-1.21777077412485-.623080469056933*I,-.347788913956614-1.6461274855*I,1.75482195334875-.5859353785*I
-1.21701984483692-.621784653572511*I,-.350859734772083-1.6461274855*I,1.75820240092477-.5859353785*I
-1.2153513982562-.619021825022522*I,-.357357882744268-1.6461274855*I,1.76552091828109-.5859353785*I
-1.21297297722926-.615324731984959*I,-.365946049721153-1.6461274855*I,1.77555458011783-.5859353785*I
-1.21053721805414-.611786522254737*I,-.374046334909367-1.6461274855*I,1.78542036290946-.5859353785*I
-1.20868985700302-.609245821793767*I,-.379788966733466-1.6461274855*I,1.79266715570665-.5859353785*I
-1.20756879840235-.607757397521211*I,-.383123733890017-1.6461274855*I,1.79697675412496-.5859353785*I
-1.2068112087079-.606772714859598*I,-.385317722407957-1.6461274855*I,1.79985419718993-.5859353785*I
-1.20602651275722-.605769895476538*I,-.387542050430718-1.6461274855*I,1.80280641729619-.5859353785*I
-1.20516894653867-.604692973584345*I,-.389919307179959-1.6461274855*I,1.80600144885013-.5859353785*I
-1.20446115909298-.603818484716593*I,-.39184089995445-1.6461274855*I,1.80861482718574-.5859353785*I
-1.20404536453619-.60331060001211*I,-.392953268294229-1.6461274855*I,1.81014045880222-.5859353785*I
-1.20379964280976-.603012440115769*I,-.393605040167981-1.6461274855*I,1.81103879351264-.5859353785*I
-1.20350656472663-.602658714344912*I,-.394377066584529-1.6461274855*I,1.81210713693127-.5859353785*I
-1.20312572929763-.60220210643833*I,-.395371687692112-1.6461274855*I,1.81349038321622-.5859353785*I
-1.20283814464401-.601859540025432*I,-.396116444516015-1.6461274855*I,1.81453124895346-.5859353785*I
-1.20283119874061-.601851289717096*I,-.396134365736826-1.6461274855*I,1.81455634978216-.5859353785*I
-1.2030807724092-.602148428430799*I,-.395488468672946-1.6461274855*I,1.81365330472977-.5859353785*I
-1.20340684188068-.602538820912767*I,-.394638441633275-1.6461274855*I,1.81246988587464-.5859353785*I
-1.20371409156872-.602908973413294*I,-.39383099829586-1.6461274855*I,1.81135099830564-.5859353785*I
-1.20411174397873-.603391396523747*I,-.392776488209088-1.6461274855*I,1.80989736822851-.5859353785*I
-1.20477827341192-.604208718849466*I,-.390984383497136-1.6461274855*I,1.80744652216169-.5859353785*I
-1.20572939574817-.605394574396889*I,-.388371905772389-1.6461274855*I,1.80391701747936-.5859353785*I
-1.20675599108847-.606701588067926*I,-.385475822981909-1.6461274855*I,1.80006286280433-.5859353785*I
-1.20761519394248-.607818243512385*I,-.382987842651572-1.6461274855*I,1.79679964137115-.5859353785*I
-1.20826361915-.608675376222521*I,-.381069630316393-1.6461274855*I,1.79431318238427-.5859353785*I
-1.20888026765381-.609502498072668*I,-.379211675181225-1.6461274855*I,1.79192879346882-.5859353785*I
-1.20967586637034-.610587664863262*I,-.376763884865533-1.6461274855*I,1.78882273769876-.5859353785*I
-1.21067963160534-.611987237386133*I,-.373590002889543-1.6461274855*I,1.7848536980337-.5859353785*I
-1.21171644385599-.613470873873434*I,-.370204975515737-1.6461274855*I,1.78069127514605-.5859353785*I
-1.21258580375051-.614746687870495*I,-.367277459007386-1.6461274855*I,1.77714860380538-.5859353785*I
-1.21323258984504-.61571585908538*I,-.36504340564341-1.6461274855*I,1.7744799033322-.5859353785*I
-1.21374044103388-.616489411086053*I,-.363254038757738-1.6461274855*I,1.77236369738428-.5859353785*I
-1.21419140280366-.617185963491206*I,-.361638083870994-1.6461274855*I,1.77046859509929-.5859353785*I
-1.21456750117557-.617774074111842*I,-.360270260043625-1.6461274855*I,1.76887620899288-.5859353785*I
-1.21481232177759-.618160520479288*I,-.359369756633577-1.6461274855*I,1.76783366949706-.5859353785*I
-1.2149609155618-.618396494236292*I,-.358819222936447-1.6461274855*I,1.76719855264482-.5859353785*I
-1.21514980061429-.618698026122738*I,-.358115009689736-1.6461274855*I,1.76638862187148-.5859353785*I
-1.21546013605474-.61919733346969*I,-.35694710493933-1.6461274855*I,1.76505147796966-.5859353785*I
-1.21578411586856-.619723881955227*I,-.355713065207308-1.6461274855*I,1.76364680063999-.5859353785*I
-1.21593233536985-.619966617786376*I,-.355143347874844-1.6461274855*I,1.76300112049842-.5859353785*I
-1.21591663080118-.619940843259297*I,-.355203867285336-1.6461274855*I,1.76306962518658-.5859353785*I
-1.21607427871193-.620200178762613*I,-.354594670384821-1.6461274855*I,1.76238095609535-.5859353785*I
-1.21678121833378-.621379977646927*I,-.351815737833461-1.6461274855*I,1.75926487512213-.5859353785*I
-1.21794162365444-.62338020581562*I,-.347076528311135-1.6461274855*I,1.7540447098389-.5859353785*I
-1.21888149913463-.625063787491947*I,-.343060843744608-1.6461274855*I,1.74971157959311-.5859353785*I
-1.2188728419153-.625048001905974*I,-.343098607718552-1.6461274855*I,1.74975195227686-.5859353785*I
-1.21778374850197-.623103165634943*I,-.347734998008878-1.6461274855*I,1.75476303761982-.5859353785*I
-1.21643479419291-.620798337316938*I,-.353187283887269-1.6461274855*I,1.76079764662664-.5859353785*I
-1.21629211417474-.620560748054854*I,-.353746677981867-1.6461274855*I,1.76142568676037-.5859353785*I
-1.21822201536698-.623876230562882*I,-.345895926557978-1.6461274855*I,1.75276233071929-.5859353785*I
-1.22149768444925-.630104714035361*I,-.330894999647228-1.6461274855*I,1.73706328449612-.5859353785*I
-1.2245331198734-.636819937671765*I,-.314370135162167-1.6461274855*I,1.72095365979279-.5859353785*I
-1.22634802673861-.641484652492533*I,-.302687168707371-1.6461274855*I,1.71024594273532-.5859353785*I
-1.22694573397432-.643169637335297*I,-.298427444335163-1.6461274855*I,1.70647324669859-.5859353785*I
-1.22684663795509-.642884248394545*I,-.299150375403028-1.6461274855*I,1.70710871903477-.5859353785*I
-1.22668162523443-.642414486316655*I,-.300339062212575-1.6461274855*I,1.70815785086613-.5859353785*I
-1.22685267179241-.64290155400929*I,-.299106554621446-1.6461274855*I,1.70707014407359-.5859353785*I
-1.22733228475601-.644307740921939*I,-.295538614297022-1.6461274855*I,1.7039532398383-.5859353785*I
-1.22784487099273-.645883718363224*I,-.291523016692855-1.6461274855*I,1.70050098433398-.5859353785*I
-1.22818366872114-.646972387849234*I,-.288738800306054-1.6461274855*I,1.69814134409335-.5859353785*I
-1.22833131892728-.647459783091022*I,-.287489612779905-1.6461274855*I,1.69709156270355-.5859353785*I
-1.2283935442919-.647667685428118*I,-.286956256384603-1.6461274855*I,1.69664501329234-.5859353785*I
-1.2284851645954-.647976584850132*I,-.286163243553671-1.6461274855*I,1.69598290503525-.5859353785*I
-1.22865114897996-.648544967390287*I,-.284702346705325-1.6461274855*I,1.69476888416595-.5859353785*I
-1.22885727058986-.649267396030143*I,-.282842281412392-1.6461274855*I,1.69323380738678-.5859353785*I
-1.22903423506166-.649903327766643*I,-.281201948120748-1.6461274855*I,1.69188989185526-.5859353785*I
-1.2291301870965-.650254579159827*I,-.280294735524827-1.6461274855*I,1.69115054062444-.5859353785*I
-1.22913882707899-.650286438166268*I,-.280212408310687-1.6461274855*I,1.69108358404505-.5859353785*I
-1.22909703765416-.650132700681246*I,-.280609619043734-1.6461274855*I,1.69140684595419-.5859353785*I
-1.22905520567267-.649979697954825*I,-.281004770917854-1.6461274855*I,1.69172896143605-.5859353785*I
-1.22903842109301-.64991855481947*I,-.281162637176841-1.6461274855*I,1.69185779686644-.5859353785*I
-1.22903004674892-.649888101132155*I,-.281241256396235-1.6461274855*I,1.69192198990415-.5859353785*I
-1.22899084582362-.649746006057708*I,-.281608004925759-1.6461274855*I,1.69222171923197-.5859353785*I
-1.22889236189497-.649392311019654*I,-.282520292870435-1.6461274855*I,1.69296928076931-.5859353785*I
-1.22872223143071-.648791964546384*I,-.284066799098207-1.6461274855*I,1.69424304098987-.5859353785*I
-1.22847566485025-.647944399625598*I,-.286245901128308-1.6461274855*I,1.69605181580442-.5859353785*I
-1.22814960783901-.646861104102819*I,-.289023785592039-1.6461274855*I,1.69838160747753-.5859353785*I
-1.22775791324308-.645610581541169*I,-.292220236496359-1.6461274855*I,1.70109621290338-.5859353785*I
-1.2273542755475-.644373731232273*I,-.295370826384274-1.6461274855*I,1.70380781761588-.5859353785*I
-1.22702783448354-.643407999562013*I,-.297823186700785-1.6461274855*I,1.70594358371299-.5859353785*I
-1.22685505274476-.64290838533266*I,-.299089255942014-1.6461274855*I,1.70705491820805-.5859353785*I
-1.22684123671654-.642868764915116*I,-.299189580383674-1.6461274855*I,1.70714323683864-.5859353785*I
-1.22690336408574-.643047308501704*I,-.298737393080439-1.6461274855*I,1.70674545979507-.5859353785*I
-1.22691158149334-.643070997488846*I,-.298677379947935-1.6461274855*I,1.70669272519977-.5859353785*I
-1.22676168945135-.642641575530565*I,-.299764635610942-1.6461274855*I,1.70765020185628-.5859353785*I
-1.22644136747935-.641742227281378*I,-.302037349471044-1.6461274855*I,1.70966598799583-.5859353785*I
-1.22605683420477-.640693438381006*I,-.304680222070024-1.6461274855*I,1.71203478667529-.5859353785*I
-1.22578553336888-.639972283457323*I,-.306492767745054-1.6461274855*I,1.7136749214068-.5859353785*I
-1.22574218102902-.639858416158387*I,-.30677860807577-1.6461274855*I,1.7139347384751-.5859353785*I
-1.22586979251562-.640194659554447*I,-.305934260557035-1.6461274855*I,1.71316818049927-.5859353785*I
-1.22599719594686-.640533621307951*I,-.305082237534506-1.6461274855*I,1.71239746329295-.5859353785*I
-1.22601854299215-.640590741597541*I,-.304938574707544-1.6461274855*I,1.7122677867575-.5859353785*I
-1.22599999326327-.640541100977741*I,-.305063426844933-1.6461274855*I,1.71238047937734-.5859353785*I
-1.22608862030282-.640778921608224*I,-.304465113845312-1.6461274855*I,1.71184098386992-.5859353785*I
-1.22630500213009-.641366584145118*I,-.30298487315707-1.6461274855*I,1.71051217743314-.5859353785*I
-1.22647830450236-.641844702796291*I,-.301778685219687-1.6461274855*I,1.7094355804918-.5859353785*I
-1.22644185957306-.641743590457011*I,-.302033909106991-1.6461274855*I,1.70966292179332-.5859353785*I
-1.22626682511771-.641262161916608*I,-.303248084109379-1.6461274855*I,1.71074784689036-.5859353785*I
-1.22624003598718-.641189079126675*I,-.303432251877972-1.6461274855*I,1.71091290158488-.5859353785*I
-1.22652442934799-.641973110220714*I,-.301454456262994-1.6461274855*I,1.70914712911027-.5859353785*I
-1.22687962855563-.642978980964842*I,-.298910469698151-1.6461274855*I,1.70689762048903-.5859353785*I
-1.22689166039851-.643013599121558*I,-.298822784633742-1.6461274855*I,1.70682051800369-.5859353785*I
-1.22646725902348-.64181402615092*I,-.301856125942348-1.6461274855*I,1.70950453487072-.5859353785*I
-1.22608474583384-.640768490519352*I,-.304491365313525-1.6461274855*I,1.7118646257009-.5859353785*I
-1.22639963587152-.641626824951223*I,-.302328550918139-1.6461274855*I,1.70992568252472-.5859353785*I
-1.22730085944488-.644213679143977*I,-.295777723139669-1.6461274855*I,1.70416065426345-.5859353785*I
-1.22774744019677-.645577851179592*I,-.292303749815121-1.6461274855*I,1.70116762674479-.5859353785*I
-1.22655145558633-.64204857882623*I,-.301263841647485-1.6461274855*I,1.70897773404291-.5859353785*I
-1.22277338898928-.632792425938284*I,-.324323711400404-1.6461274855*I,1.73051556820548-.5859353785*I
