-.3189797805+.2592464514e-1*I,.3896152163+.3151186078e-1*I,-1.047197551+.9537367472e-1*I
-.2521613943,.5076067789,-.7292019161
-.2340923001,.5663427216,-.5852283050
-.2260468417,.6128947601,-.4745863466
-.2232848193,.6530246889,-.3803922355
-.2240168327,.6889075554,-.2963545950
-.2273331360,.7216491728,-.2193010689
-.2326959990,.7519031610,-.1473623070
-.2397569441,.7800931003,-.7932301505e-1
-.3109607904+.1061676016*I,.4262225590+.1290485816*I,-1.047197551+.3818247483*I
-.3290024050+.5329580247e-1*I,.4410653022+.6478198248e-1*I,-1.047197551+.1951257118*I
-.2752800974,.5431383512,-.7796040720
-.2523915813,.6077323856,-.6190164708
-.2423820019,.6566718470,-.5020195543
-.2384485958,.6982256138,-.4042758319
-.2383626626,.7351027084,-.3179260239
-.2410548318,.7686029720,-.2392347256
-.2459132307,.7994701448,-.1660742893
-.3050717868+.1527799889*I,.4636929136+.1857067557*I,-1.047197551+.5367630799*I
-.3231134015+.1196507082*I,.4785356568+.1454375340*I,-1.047197551+.4276897942*I
-.3411550160+.7570649292e-1*I,.4933783999+.9202256974e-1*I,-1.047197551+.2754414757*I
-.3100770638,.5679268378,-.8652156513
-.2766583133,.6453205573,-.6675611543
-.2634492886,.6981490006,-.5400057061
-.2577526399,.7418460185,-.4368073868
-.2564819552,.7801632002,-.3470341997
-.2582907439,.8147372282,-.2659696474
-.3017019127+.1928207854*I,.5021839496+.2343770459*I,-1.047197551+.6611988233*I
-.3197435282+.1658822796*I,.5170266933+.2016328196*I,-1.047197551+.5783937101*I
-.3377851430+.1352576078*I,.5318694367+.1644079942*I,-1.047197551+.4797367004*I
-.3558267576+.9753422214e-1*I,.5467121799+.1185545574*I,-1.047197551+.3520440251*I
-.3738683721+.3423218651e-1*I,.5615549230+.4160982300e-1*I,-1.047197551+.1257951019*I
-.3098817885,.6761043796,-.7401667262
-.2908361985,.7360272704,-.5928501808
-.2823645135,.7830973941,-.4808384628
-.2793424651,.8235433887,-.3858619441
-.3014041889+.2306527516*I,.5419197376+.2803624644*I,-1.047197551+.7711086118*I
-.3194458019+.2069966762*I,.5567624799+.2516080903*I,-1.047197550+.7032532194*I
-.3374874181+.1814804920*I,.5716052238+.2205927205*I,-1.047197551+.6268009889*I
-.3555290322+.1531774425*I,.5864479666+.1861898674*I,-1.047197551+.5380387926*I
-.3735706468+.1201336860*I,.6012907098+.1460246021*I,-1.047197551+.4293175643*I
-.3916122616+.7642964218e-1*I,.6161334530+.9290157029e-1*I,-1.047197551+.2780070309*I
-.3616069401,.6893780897,-.8692325989
-.3276060694,.7674793867,-.6695062095
-.3142583530,.8204764120,-.5414880439
-.114398720,.4782873622,-.1953996494
-.120346002,.5078309786,-.1248413158
-.127903843,.5354169313,-.5787530301e-1
-.136857413,.5613063528,.6260077884e-2
-.147050540,.5856890711,.6813222261e-1
-.158366669,.6087067596,.1281809010
-.1707173322,.6304669539,.1867587491
-.1840348176,.6510519589,.2441572795
-.1982673537,.6705247039,.3006243863
-.1125636884,.4952844918,-.2687316540
-.1166446509,.5270966515,-.1936371455
-.1226341897,.5565889052,-.1231771154
-.1302281609,.5841309430,-.5628785366e-1
-.1392134730,.6099817798,.7786499929e-2
-.1494351018,.6343298526,.6960960092e-1
-.1607772907,.6573158657,.1296186980
-.1731521478,.6790466523,.1881646795
-.1864923974,.6996039869,.2455378168
-.1150292601,.5090193163,-.3520062771
-.1166820987,.5437829047,-.2705164020
-.1207147649,.5756537700,-.1952997780
-.1266644442,.6051944722,-.1247470276
