-.2715760029,.4381563284,-.5065840706
-.2674397722,.4799566316,-.4082194415
-.2672147114,.5170028385,-.3214720335
-.2698018722,.5506307414,-.2425019298
-.2745760266,.5816003151,-.1691348621
-.2811417362,.6103922229,-.9999414807e-1
-.2892309999,.6373322239,-.3413893771e-1
-.2986533307,.6626518574,.2911127368e-1
-.3092687508,.6865212701,.9027123765e-1
-.2906612257,.4345882969,-.6358186826
-.2795984575,.4848079259,-.5153721337
-.2750650028,.5270910642,-.4157863811
-.2745696079,.5644658653,-.3282629708
-.2769536950,.5983406080,-.2487511107
-.2815654487,.6295075835,-.1749836532
-.2879954933,.6584643944,-.1055358873
-.2959676901,.6855466911,-.3943936442e-1
-.3052864160,.7109922592,.2400349917e-1
-.3343369709,.4040423819,-.8447137116
-.3037555228,.4779873083,-.6571279488
-.2912758372,.5299292283,-.5319993697
-.2859655772,.5731565855,-.4300069336
-.2849497257,.6111640125,-.3409771032
-.2869464469,.6455096051,-.2604226252
-.2912503232,.6770508107,-.1858888131
-.2974243150,.7063188578,-.1158554537
-.3051763074,.7336688172,-.4929980012e-1
-.3807162142+.8416113446e-1*I,.3735658276+.1022993348*I,-1.047197551+.3053224259*I
-.3651125149,.4293050418,-.9229130035
-.3224252085,.5179648523,-.6920612807
-.3074033419,.5729968374,-.5584287264
-.3007852281,.6178139121,-.4523324692
-.2989176601,.6568566166,-.3608039680
-.3002907501,.6919602429,-.2785465682
-.3041042590,.7240974988,-.2027730290
-.3098735355,.7538574838,-.1317983235
-.3749597744+.1366412102*I,.4104248749+.1660897868*I,-1.047197552+.4842946920*I
-.3930013877+.9935154732e-1*I,.4252676177+.1207635480*I,-1.047197551+.3583386190*I
-.4110430028+.3887483789e-1*I,.4401103613+.4725304716e-1*I,-1.047197551+.1427475169*I
-.3490370717,.5522522993,-.7478131845
-.3292879601,.6130303340,-.5980803500
-.3205182948,.6604626575,-.4851078464
-.3173163831,.7011272799,-.3895882314
-.3177383519,.7373870110,-.3046793696
-.3208167165,.7704178475,-.2270054476
-.3721879786+.1793134965*I,.4484932180+.2179586994*I,-1.047197551+.6201515914*I
-.3902295938+.1507219225*I,.4633359616+.1832051398*I,-1.047197551+.5301445084*I
-.4082712080+.1171387227*I,.4781787046+.1423841715*I,-1.047197551+.4192065054*I
-.4263128228+.7187820638e-1*I,.4930214479+.8736922028e-1*I,-1.047197551+.2618304951*I
-.3900597497,.5738603358,-.8457920404
-.3593344747,.6479800881,-.6576971304
-.3468156237,.6999696140,-.5324385096
-.3414843836,.7432224716,-.4303807454
-.3404546261,.7812468022,-.3413104458
-.3732245459+.2192802649*I,.4881046054+.2665390072*I,-1.047197551+.7388481549*I
-.3912661602+.1947978197*I,.5029473481+.2367801658*I,-1.047197551+.6671268753*I
-.4093077751+.1680748656*I,.5177900916+.2042979465*I,-1.047197551+.5852743139*I
-.4273493895+.1378141667*I,.5326328347+.1675155363*I,-1.047197551+.4881514548*I
-.4453910042+.1008808339*I,.5474755778+.1226224226*I,-1.047197551+.3636250216*I
-.4634326190+.4244708038e-1*I,.5623183213+.5159517054e-1*I,-1.047197551+.1557639553*I
-.4031619163,.6723510584,-.7544973479
-.3827820532,.7338957819,-.6025928478
-.3737516054,.7816450913,-.4887774126
-.3794485434+.2595600919*I,.5298177956+.3154998426*I,-1.047197552+.8501611198*I
-.3974901581+.2375783616*I,.5446605391+.2887806640*I,-1.047197552+.7904306529*I
-.4155317726+.2143738059*I,.5595032822+.2605751198*I,-1.047197552+.7247242181*I
-.4335733875+.1894977388*I,.5743460262+.2303378245*I,-1.047197551+.6511887999*I
-.4516150014+.1621828362*I,.5891887681+.1971360811*I,-1.047197552+.5667282639*I
-.4696566165+.1309112860*I,.6040315123+.1591249638*I,-1.047197551+.4653584266*I
-.4876982314+.9172170722e-1*I,.6188742557+.1114893436*I,-1.047197551+.3318221261*I
-.5057398458+.1133987167e-1*I,.6337169987+.1378381286e-1*I,-1.047197551+.4176916185e-1*I
-.4359459757,.7553253145,-.7176379416
-.3935314479+.3028972946*I,.5747152005+.3681769732*I,-1.047197551+.9610757118*I
-.4115730624+.2826549054*I,.5895579436+.3435719939*I,-1.047197551+.9103682831*I
-.4296146777+.2616895743*I,.6044006873+.3180882665*I,-1.047197551+.8558203837*I
-.4476562917+.2398117721*I,.6192434302+.2914954142*I,-1.047197551+.7966098596*I
-.4656979068+.2167453624*I,.6340861736+.2634577888*I,-1.047197551+.7315666266*I
-.4837395210+.1920625750*I,.6489289164+.2334554279*I,-1.047197551+.6589199445*I
-.5017811359+.1650397742*I,.6637716598+.2006087396*I,-1.047197551+.5757432320*I
-.5198227504+.1342714998*I,.6786144029+.1632093626*I,-1.047197551+.4764825019*I
-.5378643655+.9622971486e-1*I,.6934571465+.1169689058*I,-1.047197551+.3475173688*I
-.1826088049,.4658019638,-.3270967904
-.1850279513,.4996340912,-.2476787016
-.1896676936,.5307670453,-.1739804421
-.1961210894,.5596954714,-.1045856894
-.2041134167,.5867532991,-.3853080027e-1
-.2134499447,.6121772283,.2487883841e-1
-.2239878475,.6361408646,.8616718974e-1
-.2356198962,.6587745477,.1457446863
-.2482644242,.6801775443,.2039435333
-.1878486694,.4764849504,-.4163577072
-.1873326805,.5138847852,-.3287749943
-.1897013498,.5477782692,-.2492218638
-.1943008017,.5789601978,-.1754239676
-.2007205862,.6079294786,-.1059528916
-.2086839410,.6350225236,-.3983806213e-1
-.2179948492,.6604775938,.2361940683e-1
-.2285096254,.6844693415,.8494626837e-1
-.2401204355,.7071288404,.1445548449
-.2004802048,.4807614878,-.5249688916
-.1955025348,.5235845757,-.4240098319
-.1947081876,.5613227612,-.3356230862
-.1968691898,.5954686672,-.2555122356
-.2013033302,.6268515339,-.1813038268
-.2075854762,.6559881177,-.1115187751
-.2154303614,.6832251640,-.4515762888e-1
-.2246366336,.7088074206,.1849627037e-1
-.2350570467,.7329138682,.7998123428e-1
-.2256318213,.4727319759,-.6700242887
-.2122470160,.5257740838,-.5418823177
-.2064585973,.5695826502,-.4383967651
-.2051277830,.6079729206,-.3484476401
-.2068923944,.6426006468,-.2672627911
-.2110129944,.6743646274,-.1922683337
-.2170352737,.7038170835,-.1218843308
-.2246572563,.7313250720,-.5505445592e-1
-.2336671919,.7571459796,.8972668390e-2
-.2967812213,.4121468627,-.9711982155
-.2446663665,.5122660244,-.7062132012
-.2285284135,.5686546323,-.5688101632
-.2213701130,.6141283144,-.4610013345
-.2191597357,.6535877093,-.3684560514
-.2202854438,.6889920331,-.2855151447
-.2239062576,.7213635129,-.2092482217
-.2295175518,.7513155277,-.1379009584
-.2367890875,.7792494916,-.7032051439e-1
-.3116319216+.1031005061*I,.4239575684+.1253204731*I,-1.047197551+.3712806192*I
-.3296735362+.4723714819e-1*I,.4388003116+.5741758195e-1*I,-1.047197551+.1731765075*I
-.2720421445,.5456249202,-.7646384322
-.2506761761,.6083682726,-.6093292083
-.2412499110,.6565987044,-.4942307536
-.2376572426,.6977382986,-.3975260591
-.2378067017,.7343292705,-.3118461528
-.2406773017,.7676126486,-.2336264835
-.2456792668,.7983053137,-.1608164782
-.3088601272+.1534021837*I,.4620259114+.1864630439*I,-1.047197552+.5387597937*I
-.3269017415+.1204064899*I,.4768686544+.1463561996*I,-1.047197552+.4302365154*I
-.3449433561+.7683638122e-1*I,.4917113981+.9339596874e-1*I,-1.047197551+.2794492582*I
-.3155566076,.5642041481,-.8715478012
-.2812161916,.6427181680,-.6706119889
-.2677892382,.6958115078,-.5423292918
-.2619788931,.7396467272,-.4387750631
-.2606337346,.7780544322,-.3487839400
-.2623878170,.8126949574,-.2675703960
-.3098966932+.1970361153*I,.5016372982+.2395008534*I,-1.047197551+.6738136621*I
-.3279383081+.1705500250*I,.5164800416+.2073065461*I,-1.047197551+.5930118221*I
-.3459799231+.1406840626*I,.5313227850+.1710039450*I,-1.047197551+.4975594805*I
-.3640215371+.1045816156*I,.5461655279+.1271207876*I,-1.047197551+.3763774027*I
-.3820631523+.5023182956e-1*I,.5610082714+.6105766966e-1*I,-1.047197551+.1840365579*I
-.3262791173,.6655873862,-.7717187828
-.3042030807,.7291938378,-.6139510238
-.2945006256,.7777599842,-.4979547956
-.2907458741,.8190965931,-.4007564981
-.3161206911+.2395626696*I,.5433504899+.2911926257*I,-1.047197551+.7959219132*I
-.3341623057+.2164810245*I,.5581932330+.2631364814*I,-1.047197551+.7308054010*I
-.3522039203+.1917769778*I,.5730359761+.2331082794*I,-1.047197551+.6580607738*I
-.3702455352+.1647221857*I,.5878787195+.2002227052*I,-1.047197551+.5747431664*I
-.3882871497+.1338992230*I,.6027214626+.1627568536*I,-1.047197551+.4752527490*I
-.4063287645+.9573515188e-1*I,.6175642059+.1163677559*I,-1.047197551+.3457994332*I
-.4243703788+.2901811490e-1*I,.6324069488+.3527202751e-1*I,-1.047197551+.1067134429*I
-.3585042850,.7492409838,-.7328935606
-.3401105822,.8083714940,-.5878101332
-.106901412,.4796498409,-.1828417253
-.113147362,.5088304205,-.1129737297
-.120961140,.5361052798,-.4654757855e-1
-.130139970,.5617208932,.1715812438e-1
-.140535658,.5858573930,.7868477004e-1
-.152037212,.6086496948,.1384545943
-.164560207,.6302004173,.1968080453
-.1780399927,.6505881437,.2540279781
-.1924272019,.6698728804,.3103560750
-.1049406832,.4967655058,-.2544327089
-.1094033175,.5281137389,-.1802952512
-.1157091568,.5572215230,-.1105644098
